CUPS;FECHA-HORA;INV / VER;PERIODO TARIFARIO;CONSUMO Wh;GENERACION Wh;
ES0021000008305769EY;2024/07/04 23:00;1;Llano;17;0;
ES0021000008305769EY;2024/07/05 00:00;1;Llano;21;0;
ES0021000008305769EY;2024/07/05 01:00;1;Valle;20;0;
ES0021000008305769EY;2024/07/05 02:00;1;Valle;21;1;
ES0021000008305769EY;2024/07/05 03:00;1;Valle;20;0;
ES0021000008305769EY;2024/07/05 04:00;1;Valle;21;0;
ES0021000008305769EY;2024/07/05 05:00;1;Valle;26;0;
ES0021000008305769EY;2024/07/05 06:00;1;Valle;371;0;
ES0021000008305769EY;2024/07/05 07:00;1;Valle;417;0;
ES0021000008305769EY;2024/07/05 08:00;1;Valle;230;0;
ES0021000008305769EY;2024/07/05 09:00;1;Llano;67;0;
ES0021000008305769EY;2024/07/05 10:00;1;Llano;53;1;
ES0021000008305769EY;2024/07/05 11:00;1;Punta;52;1;
ES0021000008305769EY;2024/07/05 12:00;1;Punta;50;1;
ES0021000008305769EY;2024/07/05 13:00;1;Punta;28;612;
ES0021000008305769EY;2024/07/05 14:00;1;Punta;0;2897;
ES0021000008305769EY;2024/07/05 15:00;1;Llano;0;3017;
ES0021000008305769EY;2024/07/05 16:00;1;Llano;0;3020;
ES0021000008305769EY;2024/07/05 17:00;1;Llano;0;2602;
ES0021000008305769EY;2024/07/05 18:00;1;Llano;0;1967;
ES0021000008305769EY;2024/07/05 19:00;1;Punta;0;1363;
ES0021000008305769EY;2024/07/05 20:00;1;Punta;1;476;
ES0021000008305769EY;2024/07/05 21:00;1;Punta;16;3;
ES0021000008305769EY;2024/07/05 22:00;1;Punta;14;0;
ES0021000008305769EY;2024/07/05 23:00;1;Llano;13;0;
ES0021000008305769EY;2024/07/06 00:00;1;Llano;15;0;
ES0021000008305769EY;2024/07/06 01:00;1;Valle;16;1;
ES0021000008305769EY;2024/07/06 02:00;1;Valle;16;0;
ES0021000008305769EY;2024/07/06 03:00;1;Valle;18;0;
ES0021000008305769EY;2024/07/06 04:00;1;Valle;16;0;
ES0021000008305769EY;2024/07/06 05:00;1;Valle;259;1;
ES0021000008305769EY;2024/07/06 06:00;1;Valle;388;0;
ES0021000008305769EY;2024/07/06 07:00;1;Valle;401;0;
ES0021000008305769EY;2024/07/06 08:00;1;Valle;282;0;
ES0021000008305769EY;2024/07/06 09:00;1;Valle;127;0;
ES0021000008305769EY;2024/07/06 10:00;1;Valle;98;0;
ES0021000008305769EY;2024/07/06 11:00;1;Valle;52;0;
ES0021000008305769EY;2024/07/06 12:00;1;Valle;49;1;
ES0021000008305769EY;2024/07/06 13:00;1;Valle;31;0;
ES0021000008305769EY;2024/07/06 14:00;1;Valle;3;254;
ES0021000008305769EY;2024/07/06 15:00;1;Valle;248;212;
ES0021000008305769EY;2024/07/06 16:00;1;Valle;82;322;
ES0021000008305769EY;2024/07/06 17:00;1;Valle;35;251;
ES0021000008305769EY;2024/07/06 18:00;1;Valle;1496;1;
ES0021000008305769EY;2024/07/06 19:00;1;Valle;1249;0;
ES0021000008305769EY;2024/07/06 20:00;1;Valle;1027;0;
ES0021000008305769EY;2024/07/06 21:00;1;Valle;792;0;
ES0021000008305769EY;2024/07/06 22:00;1;Valle;589;0;
ES0021000008305769EY;2024/07/06 23:00;1;Valle;589;0;
ES0021000008305769EY;2024/07/07 00:00;1;Valle;556;0;
ES0021000008305769EY;2024/07/07 01:00;1;Valle;528;0;
ES0021000008305769EY;2024/07/07 02:00;1;Valle;441;0;
ES0021000008305769EY;2024/07/07 03:00;1;Valle;461;0;
ES0021000008305769EY;2024/07/07 04:00;1;Valle;434;0;
ES0021000008305769EY;2024/07/07 05:00;1;Valle;428;0;
ES0021000008305769EY;2024/07/07 06:00;1;Valle;507;0;
ES0021000008305769EY;2024/07/07 07:00;1;Valle;443;0;
ES0021000008305769EY;2024/07/07 08:00;1;Valle;283;0;
ES0021000008305769EY;2024/07/07 09:00;1;Valle;119;0;
ES0021000008305769EY;2024/07/07 10:00;1;Valle;144;0;
ES0021000008305769EY;2024/07/07 11:00;1;Valle;875;23;
ES0021000008305769EY;2024/07/07 12:00;1;Valle;53;3;
ES0021000008305769EY;2024/07/07 13:00;1;Valle;51;1;
ES0021000008305769EY;2024/07/07 14:00;1;Valle;28;380;
ES0021000008305769EY;2024/07/07 15:00;1;Valle;0;2534;
ES0021000008305769EY;2024/07/07 16:00;1;Valle;1;2864;
ES0021000008305769EY;2024/07/07 17:00;1;Valle;2;2835;
ES0021000008305769EY;2024/07/07 18:00;1;Valle;0;1947;
ES0021000008305769EY;2024/07/07 19:00;1;Valle;1;1172;
ES0021000008305769EY;2024/07/07 20:00;1;Valle;2;635;
ES0021000008305769EY;2024/07/07 21:00;1;Valle;14;0;
ES0021000008305769EY;2024/07/07 22:00;1;Valle;17;1;
ES0021000008305769EY;2024/07/07 23:00;1;Valle;18;0;
ES0021000008305769EY;2024/07/08 00:00;1;Valle;20;0;
ES0021000008305769EY;2024/07/08 01:00;1;Valle;19;0;
